Citation Number	Date Issued	Time Issued	Location	District	Cited Person Age	Cited Person Sex	Cited Person Race	Offense Code	Offense Description	Officer Age	Officer Sex	Officer Race
    C4260	11/25/2016	10:34:00 PM	W 3RD ST & S GATES DR	LB403	F	W	44	9-24-19-1	DRIVING WHILE SUSPENDED	35	M	W
    C4233	11/15/2016	11:26:00 PM	S ROGERS ST & W PATTERSON DR	LB412	M	W	52	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
    C4210	11/6/2016	11:16:00 PM	N CURRY PIKE & W PROFILE PKWY	LB525	M	W	25	9-19-6-3	NO OR IMPROPER HEADLIGHTS	35	M	W
    C4183	11/2/2016	1:07:00 AM	S CURRY PIKE & W BELLE AVE	LMS29	M	W	28	9-24-19-1	DRIVING WHILE SUSPENDED	35	M	W
    C4184	11/2/2016	1:07:00 AM	S CURRY PIKE & W BELLE AVE	LMS29	M	W	28	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
    C4173	11/1/2016	1:33:00 AM	N STATE ROAD 37 & N BOTTOM RD	LMN19	F	U	17	9-21-5-6	EXCEEDING POSTED SPEED LIMIT	35	M	W
    C4174	11/1/2016	1:33:00 AM	N STATE ROAD 37 & N BOTTOM RD	LMN19	F	U	17	9-24-7-4	LEARNERS PERMIT	35	M	W
    C4180	10/31/2016	11:51:00 PM	W 3RD ST & S GATES DR	LB403	M	W	51	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
    C4178	10/31/2016	11:10:00 PM	S PATTERSON DR & W ALLEN ST	LB412	M	W	40	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	35	M	W
    C4179	10/31/2016	11:10:00 PM	S PATTERSON DR & W ALLEN ST	LB412	M	W	40	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
    C4175	10/31/2016	12:05:00 AM	W STATE ROAD 45 & S STATE ROAD 37	LB416	M	U	20	9-21-5-6	EXCEEDING POSTED SPEED LIMIT	35	M	W
    C4133	10/23/2016	11:21:00 PM	S WALNUT ST & E HILLSIDE DR	LB421	M	W	23	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
    C4134	10/23/2016	11:21:00 PM	S WALNUT ST & E HILLSIDE DR	LB421	M	W	23	9-21-8-41	TRAFFIC CONTROL DEVICE DIS	35	M	W
    C4135	10/23/2016	11:21:00 PM	S WALNUT ST & E HILLSIDE DR	LB421	M	W	23	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	35	M	W
    C4129	10/22/2016	10:31:00 PM	N WALNUT ST & E 17TH ST	LB213	F	W	23	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
    C4127	10/21/2016	4:11:00 AM	W 2ND ST & S PATTERSON DR	LB406	F	W	56	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
    C4127	10/21/2016	4:11:00 AM	W 2ND ST & S PATTERSON DR	LB406	F	W	56	9-24-19-1	DRIVING WHILE SUSPENDED	35	M	W
    C4100	10/14/2016	11:04:00 PM	W TAPP RD & S LEONARD SPRINGS RD	LB428	M	W	23	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
    C4098	10/13/2016	11:27:00 PM	S DEBORAH DR & W TAPP RD	LB429	M	U	20	9-24-7-4	LEARNERS PERMIT	35	M	W
    C4096	10/13/2016	3:35:00 AM	S ROCKPORT RD & W TAPP RD	LB432	F	W	24	9-18-2-27	FALSE REGISTRATION	35	M	W
    C4272	11/29/2016	4:29:00 PM	W BLOOMFIELD RD	LB417	M	W	24	9-24-19-1	DRIVING WHILE SUSPENDED	38	M	W
    C4263	11/28/2016	10:58:00 PM	1916 N MAXINE RD	LB510	M	W	27	9-24-1-1	LICENSES, CLASSES OF	38	M	W
    C4248	11/21/2016	11:13:00 PM	W 11TH ST & N MONROE ST	LB517	M	W	62	9-19-6-3	NO OR IMPROPER HEADLIGHTS	38	M	W
    C4132	10/23/2016	9:11:00 PM	S MADISON ST & W 3RD ST	LB103	F	W	27	9-21-8-24	UNSAFE MOVEMENT, LANE TO LANE	38	M	W
    C4117	10/19/2016	7:15:00 PM	W 3RD ST & S LANDMARK AVE	LB522	M	W	18	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	38	M	W
    C4118	10/19/2016	7:15:00 PM	W 3RD ST & S LANDMARK AVE	LB522	M	W	18	9-18-2-27	FALSE REGISTRATION	38	M	W
    C4278	12/1/2016	3:18:00 PM	E 3RD ST & S DUNN ST	LB104	F	U	19	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	24	M	B
    C4251	11/21/2016	3:53:00 PM	N WALNUT GROVE AVE & E 14TH ST	LIU08	M	U	19	9-21-5-2(1)	EXCEEDING URBAN SPEED LIMIT	24	M	B
    C4250	11/21/2016	2:55:00 PM	E 4TH ST & S INDIANA AVE	LIU14	F	W	60	9-21-8-32	DISREGARDING STOP SIGN	24	M	B
    C4330	12/23/2016	9:57:00 PM	2850 E 3RD ST; DICKS SPORTING GOODS	LB305	M	B	26	9-24-19-1	DRIVING WHILE SUSPENDED	29	M	W
    C4246	11/17/2016	12:03:00 AM	108 W 6TH ST; LOFT AT 106; KING DOUGH	LB101	M	W	20	14.09.030	NOISE VIOLATION	36	M	W
    C4247	11/17/2016	12:03:00 AM	108 W 6TH ST; LOFT AT 106; KING DOUGH	LB101	M	W	19	14.09.030	NOISE VIOLATION	36	M	W
    C4234	11/15/2016	11:31:00 PM	S CURRY PIKE & W CONSTITUTION AVE	LMS29	M	W	38	9-18-2-7	EXPIRED LICENSE PLATES	36	M	W
    C4211	11/6/2016	11:10:00 PM	W 3RD ST & S LANDMARK AVE	LB522	M	W	25	9-18-2-7	EXPIRED LICENSE PLATES	36	M	W
    C4212	11/6/2016	10:38:00 PM	S ROGERS ST & W KIRKWOOD AVE	LB101	F	W	20	9-18-2-7	EXPIRED LICENSE PLATES	36	M	W
    C4097	10/13/2016	12:36:00 AM	N CURRY PIKE & W VERNAL PIKE	LMN09	M	W	52	9-24-19-1	DRIVING WHILE SUSPENDED	36	M	W
    C4275	12/1/2016	7:03:00 AM	W 3RD ST & S KIMBLE DR	LB404	M	W	22	9-18-2-7	EXPIRED LICENSE PLATES	46	M	W
    C4331	12/27/2016	12:46:00 AM	N COLLEGE AVE & W 7TH ST	LB101	F	W	20	9-24-19-1	DRIVING WHILE SUSPENDED	29	F	W
    C4182	10/29/2016	11:30:00 PM	501 E 1ST ST	LB301	M	W	116	14.09.030	NOISE VIOLATION	30	M	W
    C4169	10/29/2016	11:25:00 PM	501 E 1ST ST	LB301	M	W	22	14.09.030	NOISE VIOLATION	30	M	W
    C4168	10/29/2016	11:20:00 PM	501 E 1ST ST	LB301	M	W	116	14.09.030	NOISE VIOLATION	30	M	W
    C4141	10/21/2016	1:17:00 AM	207 E 20TH ST	LB212	M	W	20	14.09.030	NOISE VIOLATION	30	M	W
    C4139	10/16/2016	1:40:00 AM	324 E 2ND ST; HISTORIC 324 E 2ND ST HOUSE	LB301	M	W	22	14.09.030	NOISE VIOLATION	30	M	W
    C4408	12/31/2016	10:43:00 PM	S COLLEGE MALL RD & E 3RD ST	LB305	F	U	24	9-21-8-21	TURNING AT INTERSECTIONS	33	M	W
    C4281	12/2/2016	12:08:00 PM	W VERNAL PIKE & N STATE ROAD 37 45	LB516	M	A	20	9-21-5-11	SPEED LIMIT WORKSITES	33	M	W
    C4343	12/31/2016	4:08:00 PM	S ROGERS ST & W WATSON ST	LB423	F	W	26	9-18-2-7	EXPIRED LICENSE PLATES	23	M	W
    C4288	12/6/2016	4:43:00 PM	S JORDAN AVE & E ATWATER AVE	LB303	F	W	45	9-18-2-7	EXPIRED LICENSE PLATES	23	M	W
    C4258	11/25/2016	2:08:00 PM	E 4TH ST & S DUNN ST	LB104	F	A	31	9-21-8-32	DISREGARDING STOP SIGN	23	M	W
    C4245	11/19/2016	9:01:00 PM	S HENDERSON ST & E 2ND ST	LB301	M	W	19	9-21-8-32	DISREGARDING STOP SIGN	23	M	W
    C4237	11/17/2016	6:02:00 PM	N PETE ELLIS DR & E 10TH ST	LIU11	F	W	50	9-21-8-14	FOLLOWING TOO CLOSELY	23	M	W
    C4181	10/31/2016	8:13:00 PM	E MOORES & S COLLEGE MALL	LB310	M	B	68	9-21-8-30	FAILURE TO YIELD, LEFT TURN	23	M	W
    C4137	10/22/2016	5:49:00 PM	E MILLER DR & S HENDERSON ST	LB315	M	W	44	9-25-4-1	NO FINANCIAL RESPONSIBILITY	23	M	W
    C4131	10/22/2016	5:31:00 PM	E MILLER DR & S HENDERSON ST	LB315	F	W	29	9-25-4-1	NO FINANCIAL RESPONSIBILITY	23	M	W
    C4125	10/20/2016	3:48:00 PM	S HENDERSON ST & E NORTH DR	LB315	M	W	25	9-18-2-7	EXPIRED LICENSE PLATES	23	M	W
    C4317	12/21/2016	3:52:00 PM	N ROGERS ST & W 7TH ST	LB101	F	W	63	8-2.1-24-17	FAIL OF INTRASTATE MOTOR CARRIER TO OBTAIN SURETY BOND OR INSURANCE	23	M	W
    C4205	11/9/2016	3:24:00 PM	S XAVIER CT & E WINSLOW RD	LB325	F	W	26	9-24-19-1	DRIVING WHILE SUSPENDED	23	M	W
    C4206	11/8/2016	4:37:00 PM	N COLLEGE AVE & W 7TH ST	LB101	M	W	21	8-2.1-24-17	FAIL OF INTRASTATE MOTOR CARRIER TO OBTAIN SURETY BOND OR INSURANCE	23	M	W
    C4209	11/7/2016	3:48:00 PM	S WALNUT ST & E ALLEN ST	LB411	F	W	29	9-18-2-27	FALSE REGISTRATION	23	M	W
    C4148	10/25/2016	8:08:00 PM	W STATE ROAD 45 46 BYPASS & N KINSER PIKE	LB511	F	W	50	9-18-2-7	EXPIRED LICENSE PLATES	23	M	W
    C4103	10/13/2016	6:32:00 PM	E 3RD ST & S PETE ELLIS DR	LB305	M	W	51	9-18-2-7	EXPIRED LICENSE PLATES	23	M	W
    C4103	10/13/2016	6:32:00 PM	E 3RD ST & S PETE ELLIS DR	LB305	M	W	51	8-2.1-24-17	FAIL OF INTRASTATE MOTOR CARRIER TO OBTAIN SURETY BOND OR INSURANCE	23	M	W
    C4101	10/13/2016	6:20:00 PM	E 3RD ST & S PETE ELLIS DR	LB305	M	U	25	9-24-19-1	DRIVING WHILE SUSPENDED	23	M	W
    C4329	12/22/2016	7:48:00 PM	N WALNUT ST & E 17TH ST	LB213	F	U	20	9-18-2-7	EXPIRED LICENSE PLATES	27	M	W
    C4241	11/20/2016	3:58:00 PM	N LINCOLN ST & E 10TH ST	LB102	M	W	22	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	27	M	W
    C4240	11/19/2016	3:35:00 PM	N ORRIS DR & N MONROE ST	LB517	F	W	40	9-18-2-7	EXPIRED LICENSE PLATES	27	M	W
    C4196	11/2/2016	6:27:00 PM	E STATE ROAD 45 46 BYPASS & N DUNN ST	LB209	M	B	25	9-18-2-7	EXPIRED LICENSE PLATES	27	M	W
    C4138	10/21/2016	5:05:00 PM	S WESTPLEX AVE & W ISAAC DR	LB406	F	W	19	9-24-19-1	DRIVING WHILE SUSPENDED	27	M	W
    C4340	12/30/2016	2:35:00 PM	S WASHINGTON ST & E 4TH ST	LB104	M	W	28	9-21-8-41	TRAFFIC CONTROL DEVICE DIS	29	F	W
    C4339	12/29/2016	3:28:00 PM	S GRANT ST & E HILLSIDE DR	LB314	F	A	23	9-18-2-7	EXPIRED LICENSE PLATES	29	F	W
    C4296	12/9/2016	3:56:00 PM	S WASHINGTON ST & E 2ND ST	LB301	F	W	37	9-18-2-7	EXPIRED LICENSE PLATES	29	F	W
    C4282	12/3/2016	2:56:00 PM	S HENDERSON ST & E THORNTON DR	LB316	F	W	29	9-18-2-7	EXPIRED LICENSE PLATES	29	F	W
    C4279	12/2/2016	4:55:00 PM	S WALNUT ST & E 1ST ST	LB410	M	B	19	9-24-19-1	DRIVING WHILE SUSPENDED	29	F	W
    C4123	10/20/2016	3:20:00 PM	W DODDS ST & S MORTON ST	LB411	M	L	36	9-18-2-7	EXPIRED LICENSE PLATES	29	F	W
    C4124	10/21/2016	12:35:00 AM	S COLLEGE AVE & W 3RD ST	LB103	F	A	21	9-24-19-1	DRIVING WHILE SUSPENDED	42	M	W
    C4176	10/29/2016	10:49:00 PM	N WALNUT ST & E 6TH ST	LB102	F	B	18	9-24-19-1	DRIVING WHILE SUSPENDED	26	M	W
    C4162	10/29/2016	4:45:00 AM	105 E WINSLOW RD; IU CREDIT UNION SOUTH	LB327	M	U	21	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	26	M	W
    C4130	10/22/2016	11:42:00 PM	S WALNUT STREET PIKE & E ALLENDALE DR	LB328	M	W	51	9-18-2-7	EXPIRED LICENSE PLATES	26	M	W
    C4316	12/21/2016	7:25:00 PM	S COLLEGE MALL RD & E 2ND ST	LB305	M	W	23	9-18-2-7	EXPIRED LICENSE PLATES	34	M	W
    C4311	12/17/2016	5:05:00 PM	W 3RD ST & S HICKORY DR	LB402	M	W	51	9-18-2-7	EXPIRED LICENSE PLATES	34	M	W
    C4307	12/15/2016	8:50:00 PM	S COLLEGE MALL RD & E 3RD ST	LB305	M	W	19	9-21-8-32	DISREGARDING STOP SIGN	34	M	W
    C4303	12/12/2016	3:50:00 PM	S FESS AVE & E 2ND ST	LB302	M	W	25	9-18-2-7	EXPIRED LICENSE PLATES	34	M	W
    C4287	12/6/2016	3:20:00 PM	S PETE ELLIS DR & E LONGVIEW AVE	LB221	M	W	27	9-18-2-7	EXPIRED LICENSE PLATES	34	M	W
    C4273	11/28/2016	3:05:00 PM	S HIGHLAND AVE & E ATWATER AVE	LB303	M	W	39	9-18-2-7	EXPIRED LICENSE PLATES	34	M	W
    C4226	11/12/2016	2:20:00 PM	S WALNUT ST & E 1ST ST	LB410	F	W	34	9-18-2-7	EXPIRED LICENSE PLATES	34	M	W
    C4220	11/11/2016	3:25:00 PM	S UNION ST & E 5TH ST	LIU13	M	W	45	9-18-2-7	EXPIRED LICENSE PLATES	34	M	W
    C4207	11/8/2016	5:50:00 PM	S WASHINGTON ST & E 3RD ST	LB104	M	W	29	9-18-2-7	EXPIRED LICENSE PLATES	34	M	W
    C4208	11/8/2016	5:30:00 PM	W 3RD ST & S JOHNSON AVE	LB404	M	B	24	9-18-2-7	EXPIRED LICENSE PLATES	34	M	W
    C4146	10/24/2016	6:45:00 AM	E BUICK CADILLAC BLVD & S CLARIZZ BLVD	LB305	M	A	23	9-18-2-7	EXPIRED LICENSE PLATES	34	M	W
    C4149	10/21/2016	3:00:00 PM	S WALNUT ST & E HILLSIDE DR	LB421	M	W	19	9-18-2-7	EXPIRED LICENSE PLATES	34	M	W
    C4126	10/20/2016	10:07:00 AM	3901 N KINSER PIKE	LB508	M	W	17	35-46-1-10.5	PURCHASE/POSSESS TOBACCO MINOR	38	M	W
    C4292	12/6/2016	10:25:00 PM	W STATE ROAD 45 46 BYPASS & N STATE ROAD 37 RAMP	LB509	M	W	47	9-18-2-7	EXPIRED LICENSE PLATES	37	M	W
    C4276	11/30/2016	11:38:00 PM	W STATE ROAD 45 46 BYPASS & N STATE ROAD 37 RAMP	LB509	M	B	40	9-21-5-6	EXCEEDING POSTED SPEED LIMIT	37	M	W
    C4167	11/2/2016	1:15:00 AM	S STATE ROAD 37 & W 3RD ST	LB403	M	B	23	9-24-19-1	DRIVING WHILE SUSPENDED	37	M	W
    C4308	12/17/2016	1:40:00 AM	N WALNUT ST & E 10TH ST	LB102	M	W	30	9-30-5-2(B)	OPERATING WHILE INTOXICATED/ENDANGERMENT	28	M	W
    C4309	12/17/2016	1:40:00 AM	N WALNUT ST & E 10TH ST	LB102	M	W	30	9-30-5-2	OPERATING WHILE INTOXICATED	28	M	W
    C4110	10/16/2016	3:00:00 AM	N INDIANA AVE & E 9TH ST	LB102	M	W	19	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	28	M	W
    C4334	12/27/2016	3:27:00 PM	S GRANT ST & E 3RD ST	LB104	F	W	31	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
    C4312	12/18/2016	4:31:00 PM	W 17TH ST & N LINDBERGH DR	LB517	F	B	25	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
    C4312	12/18/2016	4:31:00 PM	W 17TH ST & N LINDBERGH DR	LB517	F	B	25	9-21-8-9	WRONG WAY ON ONE WAY	35	M	W
    C4300	12/10/2016	4:28:00 PM	W 3RD ST & S ROGERS ST	LB103	F	W	45	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
    C4299	12/10/2016	3:16:00 PM	S ROGERS ST & W KIRKWOOD AVE	LB101	M	P	23	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
    C4244	11/19/2016	7:09:00 PM	W 3RD ST & S LIBERTY DR	LB403	M	W	22	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
    C4227	11/13/2016	8:24:00 PM	S WALNUT ST & E 1ST ST	LB410	M	A	27	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
    C4221	11/10/2016	4:51:00 PM	N BLAIR AVE & W 11TH ST	LB518	M	W	23	9-18-2-21	REGISTRATION CERTIFICATE	35	M	W
    C4221	11/10/2016	4:51:00 PM	N BLAIR AVE & W 11TH ST	LB518	M	W	23	9-18-2-27	FALSE REGISTRATION	35	M	W
    C4221	11/10/2016	4:51:00 PM	N BLAIR AVE & W 11TH ST	LB518	M	W	23	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	35	M	W
    C4221	11/10/2016	4:51:00 PM	N BLAIR AVE & W 11TH ST	LB518	M	W	23	9-24-7-4	LEARNERS PERMIT	35	M	W
    C4150	10/24/2016	8:48:00 PM	W 2ND ST & S COLLEGE AVE	LB410	M	W	24	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
    C4120	10/18/2016	3:11:00 PM	S PATTERSON DR & W 3RD ST	LB406	F	W	20	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
