Citation Number	Date Issued	Time Issued	Location	District	Cited Person Age	Cited Person Sex	Cited Person Race	Offense Code	Offense Description	Officer Age	Officer Sex	Officer Race
    C2522	4/8/2016	3:20 PM	CURRY & JONATHAN DR	LMN09	46	M	W	9-18-2-7	EXPIRED LICENSE PLATES	29	F	W
    C2513	4/8/2016	7:55 AM	S CURRY PIKE & W 3RD ST	LB402	24	F	U	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	38	M	W
    C2521	4/8/2016	6:50 PM			71	M	W	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	32	M	A
    C2523	4/8/2016	11:22 PM	S WALNUT ST & E SOUTH DR	LB422	59	F	W	9-18-2-29	VEHICLES REQUIRING REGISTRATIO	37	M	W
    C2514	4/8/2016	11:36 PM	W BROADWAY AVE & S CURRY PIKE	LMN09	34	M	W	9-24-19-1	DRIVING WHILE SUSPENDED	30	M	B
    C2509	4/8/2016	1:35 AM	W 3RD ST & S GATES DR	LB403	62	M	W	9-24-19-1	DRIVING WHILE SUSPENDED	30	M	B
    C2517	4/9/2016	11:13 PM	2701 E 3RD ST; CVS PHARMACY EAST 3RD ST	LB221	21	F	U	9-18-2-7	EXPIRED LICENSE PLATES	26	M	W
    C2524	4/9/2016	4:18 PM	W STATE ROAD 45 46 BYPASS & N KINSER PIKE	LB511	29	M	U	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	26	M	W
    C2515	4/9/2016	8:40 AM	800 S SMITH RD	LB309	43	M	L	9-24-18-1	DRIVING WITHOUT A LICENSE	57	M	W
    C2525	4/9/2016	11:03 PM	S BANTA AVE & W COUNTRY CLUB DR	LB423	24	M	W	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	35	M	W
    C2526	4/9/2016	11:03 PM	S BANTA AVE & W COUNTRY CLUB DR	LB423	24	M	W	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
    C2528	4/9/2016	11:33 PM	2036 N WALNUT ST; APT C13	LB212	25	M	B	14.09.030	NOISE VIOLATION	28	M	W
    C2516	4/9/2016	5:20 PM	N WOODBURN AVE & W 17TH ST	LB519	64	F	U	9-18-2-7	EXPIRED LICENSE PLATES	34	M	W
    C2530	4/11/2016	9:36 AM	S ROGERS ST & W PATTERSON DR	LB412	51	F	U	9-24-19-1	DRIVING WHILE SUSPENDED	42	M	W
    C2530	4/11/2016	9:36 AM	S ROGERS ST & W PATTERSON DR	LB412	51	F	U	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	42	M	W
    C2536	4/11/2016	10:19 PM	S PLEASANT RIDGE RD & E 3RD ST	LB306	60	M	W	9-18-2-7	EXPIRED LICENSE PLATES	28	M	W
    C2535	4/11/2016	10:00 PM	S MADISON ST & W KIRKWOOD AVE	LB101	22	M	W	9-18-2-7	EXPIRED LICENSE PLATES	28	M	W
    C2542	4/12/2016	8:14 AM	S HIGH ST & E 2ND ST	LB303	33	M	W	9-24-19-1	DRIVING WHILE SUSPENDED	56	M	W
    C2543	4/12/2016	10:08 PM	E MILLER DR & S WALNUT ST	LB421	34	F	W	9-18-2-27	FALSE REGISTRATION	35	F	W
    C2547	4/13/2016	3:08 PM	W STATE ROAD 45 46 BYPASS & N MONROE ST	LB510	18	M	W	9-18-2-7	EXPIRED LICENSE PLATES	27	M	W
    C2554	4/14/2016	11:02 PM	106 S BRYAN AVE	LB222	23	F	W	14.09.030	NOISE VIOLATION	25	M	W
    C2597	4/14/2016	6:20 PM	N WALNUT ST & E GLENDORA DR	LB511	58	M	U	9-21-8-2	LEFT OF CENTER	31	M	W
    C2551	4/14/2016	2:47 PM	S WALNUT ST & E WINSLOW RD	LB422	75	F	W	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	36	M	W
    C2553	4/15/2016	12:52 AM	2900 W ALDER CT	LB415	23	F	B	14.09.030	NOISE VIOLATION	25	M	W
    C2552	4/15/2016	12:00 AM	810 N WASHINGTON ST	LB213	21	M	W	14.09.030	NOISE VIOLATION	25	M	W
    C2565	4/16/2016	12:30 AM	516 E 1ST ST	LB301	20	M	W	14.09.030	NOISE VIOLATION	31	M	W
    C2571	4/16/2016	10:30 PM	801 W 11TH ST	LB518	31	F	U	14.09.030	NOISE VIOLATION	35	M	W
    C2570	4/16/2016	6:04 PM	S SWAIN AVE & E ATWATER AVE	LB303	19	M	W	9-24-19-1	DRIVING WHILE SUSPENDED	29	F	W
    C2563	4/16/2016	12:58 AM	526 E UNIVERSITY ST	LB301	25	F	W	14.09.030	NOISE VIOLATION	34	M	W
    C2580	4/17/2016	10:37 PM	1801 E HILLSIDE DR	LB312	26	M	W	14.09.030	NOISE VIOLATION	29	F	W
    C2572	4/17/2016	1:55 AM	413 S HIGHLAND AVE	LB303	23	M	W	14.09.030	NOISE VIOLATION	28	M	W
    C2582	4/17/2016	6:45 PM	N MADISON ST & W 17TH ST	LB519	27	F	W	9-24-19-1	DRIVING WHILE SUSPENDED	36	M	W
    C2577	4/18/2016	12:47 PM	S PATTERSON DR & W 3RD ST	LB406	24	F	U	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
    C2578	4/18/2016	12:47 PM	S PATTERSON DR & W 3RD ST	LB406	24	F	U	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	35	M	W
    C2579	4/18/2016	12:47 PM	S PATTERSON DR & W 3RD ST	LB406	24	F	U	9-21-3-7	DISREGARDING AUTOMATIC SIGNAL	35	M	W
    C2581	4/19/2016	8:30 AM	S ROGERS ST & W 2ND ST	LB409	51	M	U	9-24-19-1	DRIVING WHILE SUSPENDED	42	M	W
    C2666	4/19/2016	4:37 PM	N WALNUT ST & W 15TH ST	LB213	19	M	U	9-24-19-1	DRIVING WHILE SUSPENDED	24	M	B
    C2583	4/20/2016	2:07 AM	1412 W ILLINOIS CT	LB517	37	M	B	14.09.030	NOISE VIOLATION	28	M	W
    C2598	4/21/2016	1:30 PM	E 3RD ST & S PETE ELLIS DR	LB305	24	M	W	9-25-4-1	NO FINANCIAL RESPONSIBILITY	33	M	W
    C2599	4/21/2016	3:03 PM	N WALNUT ST & E 17TH ST	LB213	30	M	W	9-24-19-1	DRIVING WHILE SUSPENDED	35	M	W
    C2622	4/22/2016	10:15 PM	600 E 1ST ST	LB302	23	M	W	14.09.030	NOISE VIOLATION	31	M	W
    C2624	4/22/2016	10:12 PM	600 E 1ST ST	LB302	23	M	W	14.09.030	NOISE VIOLATION	31	M	W
    C2600	4/22/2016	7:33 AM	W 3RD ST & S KIMBLE DR	LB404	25	M	W	9-24-19-1	DRIVING WHILE SUSPENDED	38	M	W
    C2600	4/22/2016	7:33 AM	W 3RD ST & S KIMBLE DR	LB404	25	M	W	9-18-2-7	EXPIRED LICENSE PLATES	38	M	W
    C2649	4/22/2016	6:15 PM	N WALNUT ST & E 9TH ST	LB102	21	M	W	9-21-8-43	OBSTRUCTION OF DRIVER'S VIEW	32	M	A
    C2601	4/22/2016	1:30 AM	405 E 17TH ST; B14	LB212	22	M	A	14.09.030	NOISE VIOLATION	34	M	W
    C2641	4/23/2016	12:48 PM	422 E KIRKWOOD AVE; WHICH WICH SUPERIOR SANDWICHES	LB104	41	M	W	14.36.090	CONSUMPTION OF ALCOHOL IN PUBLIC	36	M	W
    C2620	4/23/2016	6:15 PM	N WOODBURN AVE & W 15TH ST	LB519	40	M	W	9-24-8-3	MOTORCYCLE LEARNERS PERMIT	36	M	W
    C2621	4/24/2016	12:28 AM			24	F	W	9-21-8-9	WRONG WAY ON ONE WAY	49	F	W
    C2643	4/24/2016	1:05 AM	2036 N WALNUT ST	LB212	29	M	B	14.09.030	NOISE VIOLATION	28	M	W
    C2623	4/24/2016	2:25 AM	407 N DUNN ST	LB102	23	M	W	14.09.030	NOISE VIOLATION	28	M	W
    C2619	4/24/2016	7:27 PM	E 3RD ST & S PETE ELLIS DR	LB305	34	M	W	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	34	M	W
    C2642	4/24/2016	12:40 PM	345 S COLLEGE AVE	LB103	22	M	B	14.09.030	NOISE VIOLATION	34	M	W
    C2644	4/24/2016	1:55 AM	3669 E LONGVIEW AVE	LB220	21	M	W	14.09.030	NOISE VIOLATION	34	M	W
    C2638	4/25/2016	11:50 PM	W 3RD ST & S LANDMARK AVE	LB522	49	M	W	9-24-19-1	DRIVING WHILE SUSPENDED	30	M	B
    C2654	4/28/2016	2:00 PM			40	M	W	14.36.090	CONSUMPTION OF ALCOHOL IN PUBLIC	31	M	W
    C2655	4/28/2016	2:00 PM			35	M	W	14.36.090	CONSUMPTION OF ALCOHOL IN PUBLIC	31	M	W
    C2657	4/29/2016	7:30 PM	101 W 2ND ST; SEMINARY PARK	LB410	59	M	B	14.36.090	CONSUMPTION OF ALCOHOL IN PUBLIC	31	M	W
    C2658	4/29/2016	7:30 PM	101 W 2ND ST; SEMINARY PARK	LB410	66	M	W	14.36.090	CONSUMPTION OF ALCOHOL IN PUBLIC	31	M	W
    C2656	4/29/2016	10:10 PM	408 S GRANT ST	LB104	21	M	W	14.09.030	NOISE VIOLATION	28	M	W
    C2354	4/30/2016	8:32 AM	N INDIANA AVE & E 12TH ST	LB214	28	M	U	9-21-5-2	SPEED MAXIMUM	51	F	W
    C2354	4/30/2016	8:32 AM	N INDIANA AVE & E 12TH ST	LB214	28	M	U	9-24-1-1	LICENSES, CLASSES OF	51	F	W
    C2354	4/30/2016	8:32 AM	N INDIANA AVE & E 12TH ST	LB214	28	M	U	9-24-19-1	DRIVING WHILE SUSPENDED	51	F	W
    C2665	4/30/2016	4:40 PM	W 3RD ST & S LIBERTY DR	LB403	52	F	A	9-18-2-7	EXPIRED LICENSE PLATES	25	M	W
    C2663	4/30/2016	4:18 PM	S ROCKPORT RD & W TAPP RD	LB432	20	M	U	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	35	F	W
    C2700	5/1/2016	12:56 AM	213 S CLARK ST	LB222	25	M	W	14.09.030	NOISE VIOLATION	25	M	W
    C2702	5/1/2016	12:48 AM	127 N JEFFERSON ST	LB222	24	M	W	14.09.030	NOISE VIOLATION	25	M	W
    C2667	5/1/2016	6:21 PM	417 S HIGH ST	LB304	20	F	W	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	31	M	W
    C2668	5/1/2016	6:21 PM	417 S HIGH ST	LB304	20	F	W	9-24-19-1	DRIVING WHILE SUSPENDED	31	M	W
    C2701	5/1/2016	1:14 AM	318 N JEFFERSON ST	LB222	21	M	W	14.09.030	NOISE VIOLATION	28	M	W
    C2661	5/2/2016	8:36 PM	S WALNUT ST & E WINSLOW RD	LB422	19	M	W	9-24-19-1	DRIVING WHILE SUSPENDED	38	M	W
    C2662	5/2/2016	2:20 PM	2444 S WINSLOW CT	LB326	20	F	W	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	38	M	W
    C2660	5/2/2016	11:06 PM	W STATE ROAD 45 46 BYPASS & N STATE ROAD 37 RAMP	LB509	26	M	W	9-18-2-27	FALSE REGISTRATION	36	M	W
    C2664	5/2/2016	12:12 AM	S JORDAN AVE & E ATWATER AVE	LB303	24	F	A	9-19-6-4	IMPROPER TAIL/LICENSE PLATE LI	30	M	W
    C2707	5/3/2016	10:38 PM	S WALNUT ST & E ALLEN ST	LB411	20	M	U	9-24-19-1	DRIVING WHILE SUSPENDED	31	M	W
    C2707	5/3/2016	10:38 PM	S WALNUT ST & E ALLEN ST	LB411	20	M	U	9-19-6-4	IMPROPER TAIL/LICENSE PLATE LI	31	M	W
    C2698	5/4/2016	2:45 PM	E 7TH ST & N STATE ROAD 46	LB222	22	F	W	9-18-2-7	EXPIRED LICENSE PLATES	34	M	W
    C2708	5/5/2016	11:51 PM	S COLLEGE MALL RD & E 2ND ST	LB305	21	M	W	9-24-7-4	LEARNERS PERMIT	31	M	W
    C2709	5/5/2016	10:16 PM	W TAPP RD & S LEONARD SPRINGS RD	LB428	24	M	W	9-19-6-3	NO OR IMPROPER HEADLIGHTS	35	M	W
    C2709	5/5/2016	10:16 PM	W TAPP RD & S LEONARD SPRINGS RD	LB428	24	M	W	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
    C2704	5/6/2016	12:04 AM	315 E 7TH ST; BRUMMETT HOUSE	LB102	23	M	W	14.09.030	NOISE VIOLATION	26	M	W
    C2719	5/6/2016	7:01 AM	E MILLER DR & S WALNUT ST	LB421	52	F	B	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	31	M	W
    C2712	5/6/2016	8:20 AM	E NORTH DR & S WALNUT ST	LB421	41	M	W	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	31	M	W
    C2713	5/6/2016	8:12 AM	S HENDERSON ST & E WYLIE FARM RD	LB327	32	M	W	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	31	M	W
    C2714	5/6/2016	8:06 AM	S WALNUT STREET PIKE & E WINSLOW RD	LB327	68	F	W	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	31	M	W
    C2715	5/6/2016	7:56 AM	S HENDERSON ST & E HILLSIDE DR	LB314	60	M	W	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	31	M	W
    C2716	5/6/2016	7:22 AM	E NORTH DR & S WALNUT ST	LB421	46	F	W	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	31	M	W
    C2720	5/6/2016	6:59 AM	E MILLER DR & S WALNUT ST	LB421	51	M	W	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	31	M	W
    C2718	5/6/2016	7:14 AM	E MILLER DR & S WALNUT ST	LB421	44	M	U	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	31	M	W
    C2711	5/6/2016	2:04 AM	W TAPP RD & S STATE ROAD 37	LMS22	22	M	W	9-21-5-6	EXCEEDING POSTED SPEED LIMIT	35	M	W
    C2699	5/6/2016	8:05 AM	HIGH & MEADOWBLUFF	LB324	35	F	W	9-18-2-7	EXPIRED LICENSE PLATES	27	M	W
    C2697	5/6/2016	12:40 PM	W 3RD ST & S CORY LN	LB522	61	M	U	9-24-19-1	DRIVING WHILE SUSPENDED	44	M	W
    C2696	5/7/2016	4:15 PM	E HILLSIDE DR & S WOODLAWN AVE	LB316	25	M	B	9-24-19-1	DRIVING WHILE SUSPENDED	26	M	W
    C2695	5/7/2016	1:56 AM	S HIGH ST & E ATWATER AVE	LB303	24	M	A	9-21-8-33	FAILURE TO YIELD, PEDESTRIAN	31	M	W
    C2695	5/7/2016	1:56 AM	S HIGH ST & E ATWATER AVE	LB303	24	M	A	9-24-19-1	DRIVING WHILE SUSPENDED	31	M	W
    C2695	5/7/2016	1:56 AM	S HIGH ST & E ATWATER AVE	LB303	24	M	A	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	31	M	W
    C2722	5/7/2016	6:38 PM	GRAHAM & FORD	LB423	20	M	U	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	35	F	W
    C2728	5/7/2016	4:20 AM	545 S PATTERSON DR; APT 1104	LB406	24	M	W	14.09.030	NOISE VIOLATION	31	M	A
    C2721	5/7/2016	10:52 PM	S WALNUT ST & W DODDS ST	LB411	22	M	A	9-21-5-2(1)	EXCEEDING URBAN SPEED LIMIT	28	M	W
    C2703	5/7/2016	12:10 AM	416 E COTTAGE GROVE AVE	LB213	23	M	W	14.09.030	NOISE VIOLATION	34	M	W
    C2710	5/8/2016	11:44 PM	N WALNUT ST & W 11TH ST	LB213	25	M	W	9-24-19-1	DRIVING WHILE SUSPENDED	27	M	W
    C2705	5/8/2016	1:08 AM	443 W HOOSIER COURT AVE	LB513	23	M	W	14.09.030	NOISE VIOLATION	28	M	W
    C2730	5/9/2016	5:49 PM	W STATE ROAD 45 46 BYPASS & N KINSER PIKE	LB511	33	F	W	9-24-19-1	DRIVING WHILE SUSPENDED	35	F	W
    C2725	5/9/2016	9:15 PM	W BLOOMFIELD RD & S OAKDALE DR	LB417	24	M	W	9-24-19-1	DRIVING WHILE SUSPENDED	24	M	B
    C2726	5/9/2016	9:15 PM	W BLOOMFIELD RD & S OAKDALE DR	LB417	24	M	W	9-21-8-25	TURNS, SIGNALING	24	M	B
    C2706	5/9/2016	2:26 AM	3130 E GOODNIGHT WAY; APT 9	LB310	22	M	A	14.09.030	NOISE VIOLATION	29	F	W
    C2813	5/10/2016	9:15 PM	N COLLEGE AVE & W 9TH ST	LB101	23	M	A	9-18-2-7	EXPIRED LICENSE PLATES	25	M	W
    C2737	5/10/2016	8:10 AM	2400 E 2ND ST	LB304	25	M	S	9-24-19-1	DRIVING WHILE SUSPENDED	56	M	W
    C2811	5/10/2016	1:00 AM	W STATE ROAD 45 46 BYPASS & N STATE ROAD 37 RAMP	LB509	19	F	W	9-21-5-1	UNREASONABLE SPEED	35	M	W
    C2731	5/10/2016	9:58 AM	W BLOOMFIELD RD & S STATE ROAD 37	LB417	19	M	B	9-21-5-11	SPEED LIMIT WORKSITES	46	M	W
    C2729	5/10/2016	1:22 AM	S HENDERSON ST & E HILLSIDE DR	LB314	32	M	W	9-21-3-8	DISREGARDING FLASHING SIGNAL	29	F	W
    C2727	5/10/2016	12:30 AM	455 N COLLEGE AVE; APT 6028	LB101	21	M	W	14.09.030	NOISE VIOLATION	42	M	W
    C2740	5/11/2016	8:31 AM	S ROGERS ST & W 4TH ST	LB103	46	F	W	9-18-2-7	EXPIRED LICENSE PLATES	51	F	W
    C2766	5/11/2016	6:45 PM	S ROGERS ST & W 4TH ST	LB103	25	F	W	9-21-8-2	LEFT OF CENTER	31	M	W
    C2768	5/11/2016	6:33 PM	W 11TH ST & N COLLEGE AVE	LB519	41	M	W	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	31	M	W
    C2769	5/11/2016	6:20 PM	S DUNN ST & E KIRKWOOD AVE	LB102	25	M	W	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	31	M	W
    C2771	5/11/2016	6:11 PM	S WASHINGTON ST & E KIRKWOOD AVE	LB102	21	M	W	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	31	M	W
    C2772	5/11/2016	5:51 PM	E 4TH ST & S INDIANA AVE	LIU14	50	M	W	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	31	M	W
    C2738	5/11/2016	3:53 AM	S LINCOLN ST & E DIXIE ST	LB314	33	M	W	9-24-19-1	DRIVING WHILE SUSPENDED	31	M	W
    C2739	5/11/2016	3:53 AM	S LINCOLN ST & E DIXIE ST	LB314	33	M	W	9-19-6-4	IMPROPER TAIL/LICENSE PLATE LI	31	M	W
    C2774	5/11/2016	7:23 PM	E MOORES PIKE & S COLLEGE MALL RD	LB310	38	M	U	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	31	M	W
    C2775	5/11/2016	7:23 PM	E MOORES PIKE & S COLLEGE MALL RD	LB310	38	M	U	9-19-11-3.6	CHILD RESTRAINT AT LEAST 8<16	31	M	W
    C2767	5/11/2016	6:35 PM	W 11TH ST & N COLLEGE AVE	LB519	41	F	U	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	31	M	W
    C2776	5/11/2016	6:13 PM	S WASHINGTON ST & E KIRKWOOD AVE	LB102	20	M	U	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	31	M	W
    C2770	5/11/2016	6:05 PM	S WASHINGTON ST & E KIRKWOOD AVE	LB102	21	M	U	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	31	M	W
    C2791	5/11/2016	2:26 PM	N DUNN ST & E 7TH ST	LB102	79	F	U	9-21-8-24	UNSAFE MOVEMENT,LANE TO LANE	31	M	W
    C2773	5/11/2016	4:55 PM	S ROGERS ST & W 2ND ST	LB409	48	F	W	9-18-2-27	FALSE REGISTRATION	24	M	B
    C2862	5/11/2016	4:55 PM	S ROGERS ST & W 2ND ST	LB409	48	F	W	9-18-2-27	FALSE REGISTRATION	24	M	B
    C2742	5/11/2016	1:04 AM	S COLLEGE AVE & W 4TH ST	LB103	45	M	B	9-21-8-59	TEXTING WHILE DRIVING	49	F	W
    C2741	5/11/2016	2:30 AM	N COLLEGE AVE & W 17TH ST	LB519	21	M	W	9-21-3-7	DISREGARDING AUTOMATIC SIGNAL	49	F	W
    C2764	5/11/2016	11:01 PM	W TAPP RD & S STATE ROAD 37	LMS22	43	M	B	9-18-2-7	EXPIRED LICENSE PLATES	36	M	W
    C2763	5/11/2016	10:54 PM	S MULLER PKWY & W 3RD ST	LB522	20	M	W	9-18-2-7	EXPIRED LICENSE PLATES	36	M	W
    C2765	5/12/2016	1:59 AM	S CURRY PIKE & W CONSTITUTION AVE	LMS29	49	F	W	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	35	M	W
    C2793	5/12/2016	11:44 PM	E 10TH ST & N STATE ROAD 45 46 BYPASS	LB222	19	F	B	9-18-2-7	EXPIRED LICENSE PLATES	36	M	W
    C2794	5/12/2016	11:50 PM	422 S GRANT ST	LB104		M	W	14.09.030	NOISE VIOLATION	29	F	W
    C2812	5/13/2016	11:48 PM	630 E ATWATER AVE	LB302	21	M	W	14.09.030	NOISE VIOLATION	25	M	W
    C2815	5/13/2016	11:38 PM	S ROGERS ST & W PATTERSON DR	LB412	22	F	U	9-24-1-1	LICENSES, CLASSES OF	35	M	W
    C2814	5/13/2016	11:42 PM	E MILLER DR & S WALNUT ST	LB421	28	M	W	9-19-6-3	NO OR IMPROPER HEADLIGHTS	29	F	W
    C2809	5/13/2016	4:10 PM	W 2ND ST & S PATTERSON DR	LB406	29	M	W	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	34	M	W
    C2820	5/13/2016	4:30 PM	S MADISON ST & W 3RD ST	LB103	22	F	W	9-18-2-7	EXPIRED LICENSE PLATES	35	M	W
    C2810	5/14/2016	7:16 PM	S STATE ROAD 37 & W 3RD ST	LB403	65	M	W	9-21-8-24	UNSAFE MOVEMENT,LANE TO LANE	25	M	W
    C2821	5/14/2016	11:49 PM	S CURRY PIKE & W FARMER AVE	LMS27	21	M	W	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	35	M	W
    C2821	5/14/2016	11:49 PM	S CURRY PIKE & W FARMER AVE	LMS27	21	M	W	9-19-6-3	NO OR IMPROPER HEADLIGHTS	35	M	W
    C2821	5/14/2016	11:49 PM	S CURRY PIKE & W FARMER AVE	LMS27	21	M	W	9-24-19-1	DRIVING WHILE SUSPENDED	35	M	W
    C2817	5/14/2016	11:16 PM	N WALNUT ST & E STATE ROAD 45 46 BYPASS	LB511	23	M	W	9-18-2-7	EXPIRED LICENSE PLATES	36	M	W
    C2816	5/14/2016	12:53 AM	S WOODLAWN AVE & E ATWATER AVE	LIU14	22	F	W	9-18-2-7	EXPIRED LICENSE PLATES	29	F	W
    C2824	5/15/2016	5:48 PM	S ROGERS ST & W KIRKWOOD AVE	LB101	25	M	B	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	31	M	W
    C2825	5/15/2016	5:58 PM	N MADISON ST & W 17TH ST	LB519	22	M	U	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	31	M	W
    C2823	5/15/2016	5:34 PM	S COLLEGE MALL RD & E 3RD ST	LB305	22	M	U	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	31	M	W
    C2822	5/15/2016	2:01 AM	W TAPP RD & S LEONARD SPRINGS RD	LB428	20	M	W	9-19-6-4	IMPROPER TAIL/LICENSE PLATE LI	35	M	W
    C2826	5/15/2016	11:17 PM	E NORTH DR & S WALNUT ST	LB421	23	F	U	9-21-5-2(1)	EXCEEDING URBAN SPEED LIMIT	35	M	W
    C2818	5/15/2016	4:28 PM	DUNN & BYPASS	LB209	37	F	W	9-18-2-7	EXPIRED LICENSE PLATES	27	M	W
    C2819	5/15/2016	4:55 PM	W 11TH ST & N ROGERS ST	LB519	18	M	W	9-19-10-2	FRONT SEAT PASSENGER RESTRAINT	34	M	W
    C2839	5/16/2016	11:11 PM	N MADISON ST & W 17TH ST	LB519	21	F	W	9-21-3-8	DISREGARDING FLASHING SIGNAL	49	F	W
    C2845	5/17/2016	8:39 AM	W 3RD ST & S LANDMARK AVE	LB522	32	F	W	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	47	M	W
    C2853	5/17/2016	9:08 PM	N ILLINOIS ST & W 12TH ST	LB517	21	M	B	9-24-19-1	DRIVING WHILE SUSPENDED	41	M	W
    C2846	5/17/2016	11:02 AM	N COLLEGE AVE & W 7TH ST	LB101	41	F	W	9-24-19-1	DRIVING WHILE SUSPENDED	49	M	W
    C2854	5/17/2016	3:00 PM	101 W 2ND ST; SEMINARY PARK	LB410	50	M	B	14.36.090	CONSUMPTION OF ALCOHOL IN PUBLIC	36	M	W
    C2852	5/18/2016	8:30 AM	N SMITH RD & E GRANDVIEW DR	LB219	52	F	W	9-24-19-1	DRIVING WHILE SUSPENDED	57	M	W
    C2855	5/18/2016	3:50 PM	S COLLEGE AVE & W 4TH ST	LB103	25	M	B	9-24-19-2	DRIVING WHILE SUSPENDED/WITHIN 10 YEARS	25	M	W
    C2856	5/18/2016	4:43 PM	S WALNUT ST & E WINSLOW RD	LB422	33	M	W	9-24-19-1	DRIVING WHILE SUSPENDED	31	M	W
